Hero,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Elder Titan,75,42,33,0.56,40,35,2.4,5.37,15.83,4.18,3.39,257,360,47,3,17,12030,218,413,9619
Shadow Demon,70,39,31,0.5571,43,27,2.53,7.06,13.49,2.61,2.27,270,415,63,3,19,9132,357,218,9975
Tiny,62,33,29,0.5323,28,34,6.18,5.27,11.6,4.34,3.37,432,503,200,9,20,22270,2711,147,15179
Ogre Magi,62,27,35,0.4355,30,32,2.06,6.05,12.1,2.5,2.34,361,422,85,6,19,10719,401,940,13115
Gyrocopter,52,32,20,0.6154,24,28,8.69,3.67,10.75,6.5,5.29,632,616,388,18,22,31984,7013,6,23754
Leshrac,49,25,24,0.5102,28,21,6.47,5.65,9.45,3.59,2.82,521,568,298,10,21,22969,5634,716,18351
Mirana,45,24,21,0.5333,21,24,6.07,3,13.71,7.47,6.59,399,490,159,5,20,16916,804,989,14221
Tidehunter,45,28,17,0.6222,24,21,2.51,4.6,13.82,4.52,3.55,387,544,200,7,21,12366,998,2041,13779
Kunkka,45,25,20,0.5556,21,24,5.33,3.71,12.33,6,4.76,517,588,307,8,22,19673,1832,97,18490
Sand King,42,22,20,0.5238,20,22,3.83,6.24,16.98,3.72,3.34,389,505,187,6,21,21467,327,264,14710
Ember Spirit,42,20,22,0.4762,18,24,7.74,4.33,9.9,5.03,4.07,519,614,268,8,21,27932,925,80,17221
Lifestealer,42,18,24,0.4286,30,12,6.26,2.93,8.26,4.6,4.96,622,649,374,18,23,25332,5731,1467,24406
Rubick,40,24,16,0.6,18,22,3.95,5.08,13.8,4.37,3.5,331,453,120,5,20,16505,392,298,11858
Crystal Maiden,37,21,16,0.5676,17,20,2.62,6.59,14.51,2.76,2.6,331,406,84,3,18,14700,409,72,12557
Ancient Apparition,36,19,17,0.5278,14,22,3.19,6.22,15.83,3.11,3.06,306,371,46,4,18,11518,280,458,12492
Enchantress,36,21,15,0.5833,17,19,6.39,4.72,10.47,4.13,3.57,411,501,165,15,20,22854,2718,3137,14875
Sven,35,17,18,0.4857,17,18,6.37,3.37,9.06,5.02,4.58,636,684,406,11,23,20885,3688,11,23637
Alchemist,33,20,13,0.6061,11,22,7.52,3.21,11.64,6.71,5.96,946,665,396,7,23,29140,7589,0,34075
Grimstroke,33,11,22,0.3333,18,15,2.42,6.24,10.82,2.42,2.12,327,369,84,3,16,10121,199,212,11188
Earthshaker,33,16,17,0.4848,20,13,4.82,5.94,13.24,3.65,3.04,339,444,131,8,20,16061,613,55,12660
Shadow Shaman,29,15,14,0.5172,8,21,2.24,7.1,13.45,2.51,2.21,311,452,91,6,19,11037,2777,29,10181
Lina,29,14,15,0.4828,14,15,6.93,5.48,11.72,4.74,3.4,460,557,255,9,22,21314,2323,196,17812
Centaur Warrunner,27,14,13,0.5185,19,8,3.85,4.07,14.93,4.73,4.61,436,529,246,9,21,13877,4271,231,16340
Invoker,26,14,12,0.5385,10,16,4.69,4.19,12.27,4.38,4.05,374,482,145,13,20,17152,788,68,12531
Faceless Void,26,16,10,0.6154,13,13,8.62,3.12,10.19,6.48,6.04,633,670,394,22,23,26805,4274,15,24043
Wraith King,26,13,13,0.5,10,16,4.81,2.65,10.38,6.25,5.72,665,643,383,11,22,22549,6554,1630,22998
Slark,26,12,14,0.4615,13,13,7.58,4,8.23,4.18,3.95,591,639,339,17,22,22548,3398,15,22614
Warlock,25,12,13,0.48,9,16,1.92,4.72,12.04,3.63,2.96,257,366,56,3,17,11867,596,3601,8935
Chen,24,17,7,0.7083,12,12,1.71,4.5,15.08,5.09,3.73,293,413,94,4,18,5348,1929,8696,10801
Storm Spirit,24,13,11,0.5417,14,10,8.42,4.67,11.58,5.12,4.29,539,631,344,10,23,27171,1071,51,21788
Beastmaster,23,10,13,0.4348,11,12,2.74,4,12.04,4.41,3.7,411,531,198,11,20,10906,3203,2093,13066
Axe,22,11,11,0.5,9,13,5.64,6.36,10.91,3.52,2.6,400,509,195,5,21,16771,650,63,13781
Omniknight,22,9,13,0.4091,9,13,1.82,4,8.73,3.02,2.64,387,459,127,7,18,7033,703,4037,11732
Abaddon,22,14,8,0.6364,9,13,2.91,4.82,12.77,3.71,3.25,379,556,142,9,20,11388,2329,5559,11852
Magnus,21,9,12,0.4286,10,11,1.67,6.19,12.43,2.45,2.28,301,441,111,4,20,7258,222,993,10956
Earth Spirit,20,11,9,0.55,8,12,3.15,5.65,14.25,3.77,3.08,282,401,58,3,18,13383,460,544,9610
Templar Assassin,19,13,6,0.6842,9,10,10.32,4.26,9.89,5.09,4.74,689,735,461,12,24,31295,6441,0,26331
Enigma,18,9,9,0.5,12,6,2.89,4.39,13.44,3.94,3.72,476,475,236,19,20,16159,3140,1891,17752
Outworld Devourer,18,6,12,0.3333,10,8,6.5,3.94,5.67,3.87,3.08,554,635,362,18,22,21573,1200,0,20909
Juggernaut,18,6,12,0.3333,7,11,6.22,3.67,6.17,4.68,3.38,609,600,348,20,21,20296,5537,4183,20974
Dark Willow,18,9,9,0.5,11,7,4.78,4.94,13.78,4.69,3.75,316,432,61,5,19,13708,223,48,11361
Jakiro,17,6,11,0.3529,9,8,3.29,6.35,13.18,3.8,2.59,333,409,108,4,18,15958,1224,616,12025
Io,16,12,4,0.75,11,5,3.81,3.56,13.75,6.38,4.93,403,562,146,6,20,15312,1374,10484,11434
